1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
2,Operating,1,Quad,Hall,1978-,2300,212,1491,,400,69,11,Bottom,Bottom,3.7,,alpine-valley-oh/
3,Operating,2,Triple,Hall,2013-,,,,,,23,4,Bottom,Bottom,,Relocated,alpine-valley-oh/
4,Operating,3,Quad,Partek,2013-,,,,,,59,8,Bottom,Bottom,,,alpine-valley-oh/
5,Removed,,Double,Hall,1968-2019,1200,185,1190,,465,,,,,2.6,,alpine-valley-oh/
6,Removed,,J-Bar,Hall,1968-2013,600,67,684,,275,,,,,2.5,,alpine-valley-oh/
7,Removed,,T-Bar,Sneller,1964-,1200,202,1806,,,,,,,,,alpine-valley-oh/
2,Operating,E-Z Rider,High Speed Quad,Poma,2004-,2400,343,2360,200,1000,27,5,Bottom,Dual,2.4,,alpine-valley-wi/
3,Operating,First Adventure,Triple,Hall,1975-,1500,163,1155,,375,52,7,Bottom,Bottom,3.1,New Skytrac drive/tension station in 2015.,alpine-valley-wi/
4,Operating,Lodge,Triple,Riblet,1987-,1800,244,1525,75,400,9,,Bottom,Bottom,3.8,,alpine-valley-wi/
5,Operating,Mohawk,Triple,Hall,,,,,,,65,8,Bottom,Bottom,,,alpine-valley-wi/
6,Operating,Snow Drift,Triple,Riblet,2016-,,,,,,,8,Bottom,Bottom,,"Relocated, formerly called Valley View",alpine-valley-wi/
7,Operating,Super Glide,High Speed Quad,Leitner-Poma,2011-,1900,279,1421,150,1000,26,5,Bottom,Dual,1.4,,alpine-valley-wi/
8,Operating,Valley Flyer,High Speed Quad,Poma,1999-,2100,290,1426,200,900,30,6,Bottom,Dual,1.6,,alpine-valley-wi/
9,Removed,Broadway,Triple,Riblet,1987-2011,1800,244,1271,75,400,,,Bottom,Bottom,3.2,,alpine-valley-wi/
