1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
10,Operating,Red Lady Express,High Speed Quad,Poma,1997-,2400,971,5647,500,1100,80,19,Top,Dual,5.1,,crested-butte-co/
11,Operating,Silver Queen Express,High Speed Quad,Poma,1992-,2400,2058,7800,800,1100,120,27,Top,Dual,7.1,,crested-butte-co/
12,Operating,Teocalli,Quad,Skytrac,2019-,1800,642,3791,250,450,127,14,Top,Top,8.4,,crested-butte-co/
13,Operating,Westwall,Quad,Leitner-Poma,2005-,1800,469,1741,150,450,39,7,Top,Top,2.9,,crested-butte-co/
14,Removed,East River,Triple,Poma,1998-2006,,1029,,,,,,,,10,"Relocated from Keystone, CO",crested-butte-co/
15,Removed,East River,Double,Heron-Poma,1972-1998,1200,1015,3595,150,500,,,,,5.2,,crested-butte-co/
16,Removed,Gondola,Gondola 3,Carlevaro-Savio,1963-1973,,,,,,,,,,,Relocated from Italy,crested-butte-co/
17,Removed,Keystone,Double,Riblet,1968-1982,930,951,6546,,500,,,Bottom,Top,13.1,,crested-butte-co/
18,Removed,Keystone,Triple,Poma,1982-1997,1800,962,6316,,450,,,,,14,,crested-butte-co/
19,Removed,Noram,Platter,Poma,1983-,100,108,345,,280,,,,,1.2,,crested-butte-co/
20,Removed,North Face,Platter,Poma,1987-2004,680,450,1325,40,750,,,,,1.8,,crested-butte-co/
21,Removed,Paradise,Double,Heron-Poma,1971-1994,1200,1150,5705,,500,,,,,11.4,,crested-butte-co/
22,Removed,Peachtree,Double,Heron-Poma,1971-2021,840,216,1235,,350,53,5,Top,Bottom,3.5,,crested-butte-co/
23,Removed,Silver Queen,Double,Heron-Poma,1973-1992,1050,1866,6940,,500,,,,,14,,crested-butte-co/
24,Removed,Teocalli,Double,Riblet,1979-2018,1200,613,3356,,475,140,20,Top,Bottom,7.1,,crested-butte-co/
25,Removed,T-Bar,T-Bar,Doppelmayr,-2005,,505,,,,,,,,5,,crested-butte-co/
26,Removed,Twister,Double,Riblet,1969-2017,1080,1067,3496,,500,121,,Bottom,Top,7,,crested-butte-co/
2,Operating,The Rocket,High Speed Quad,Garaventa CTEC,2012-,,,,,,,,,,,"Relocated from Ascutney, VT",crotched-mountain-nh/
3,Operating,Rover,Triple,Riblet,2003-,,,,,,,,Bottom,Bottom,,"Relocated from Cherokee, VA",crotched-mountain-nh/
4,Operating,Valley,Quad,Riblet,2003-,,,,,,,,Bottom,Bottom,,"Relocated from Cherokee, VA",crotched-mountain-nh/
5,Operating,West,Double,Hall,1969-,1200,485,2741,,465,,15,Bottom,Bottom,5.9,Retrofitted with a Doppelmayr CTEC bottom drive terminal in 2003,crotched-mountain-nh/
6,Removed,Cabin Double,Double,Hall,1969-1992,1000,551,2734,,465,,,,,5.9,,crotched-mountain-nh/
7,Removed,East,Double,Hall,1963-1992,800,608,2814,,,,,,,,,crotched-mountain-nh/
8,Removed,Lower T-Bar,T-Bar,Hall,1965-1992,,,800,,,,,,,,,crotched-mountain-nh/
9,Removed,Summit,Quad,Riblet,2003-2012,,,,,,,7,Bottom,Bottom,,"Relocated from Cherokee, VA",crotched-mountain-nh/
10,Removed,Summit T-Bar,T-Bar,Hall,1977-1992,,,,,,,,,,,,crotched-mountain-nh/
11,Removed,T-Bar,T-Bar,Hall,1969-1992,850,180,1203,,450,,,,,2.7,,crotched-mountain-nh/
12,Removed,The Quad,Quad,CTEC,1987-1992,2000,878,3255,250,425,,,Bottom,Bottom,7.7,,crotched-mountain-nh/
13,Removed,Upper T-Bar,T-Bar,Hall,1963-1992,1000,435,1761,,,,,,,,,crotched-mountain-nh/
2,Operating,Backyard,Triple,CTEC,2015-,,,,,,,6,Bottom,Bottom,,Relocated from Loki,crystal-mountain-mi/
3,Operating,Buck,Quad,Skytrac,2013-,2525,294,1038,150,400,,6,Bottom,Bottom,2.6,,crystal-mountain-mi/
4,Operating,Crystal Clipper,High Speed Quad,Poma,1998-,2000,314,2167,200,1100,,8,Top,Dual,2,,crystal-mountain-mi/
5,Operating,Loki,Quad,Skytrac,2011-,2525,255,920,125,400,,5,Bottom,Bottom,2.3,,crystal-mountain-mi/
6,Operating,North Face,Quad,Doppelmayr CTEC,2003-,2400,226,1161,100,410,,6,Bottom,Bottom,2.8,,crystal-mountain-mi/
7,Operating,Ridge,Triple,CTEC,1988-,2100,253,1258,100,300,,6,Bottom,Bottom,4.2,,crystal-mountain-mi/
8,Removed,Buck,Quad,Riblet,1977-2013,2400,285,1300,,375,,,Bottom,Bottom,3.5,,crystal-mountain-mi/
9,Removed,Cheers,Double,Brandle,1963-2016,800,300,1900,,,,,Bottom,,,,crystal-mountain-mi/
10,Removed,Loki,Triple,CTEC,1990-2011,1800,144,1480,75,380,,7,Bottom,Bottom,3.9,,crystal-mountain-mi/
11,Removed,Loki,Double,Hall,1971-2011,1200,264,900,,465,,,Bottom,Bottom,1.9,,crystal-mountain-mi/
2,Operating,Chair 6,Double,Skytrac,2014-,875,920,2510,150,510,,,Bottom,Bottom,4.9,,crystal-mountain-wa/
3,Operating,Chinook Express,High Speed Six,Doppelmayr,1998-,3600,855,3954,600,1000,83,16,Top,,4,,crystal-mountain-wa/
4,Operating,Discovery,Triple,CTEC,1984-,1800,168,1465,,450,65,8,Bottom,Bottom,3.3,,crystal-mountain-wa/
5,Operating,Forest Queen Express,High Speed Six,Doppelmayr,1997-,3600,1163,4568,800,1000,96,18,Top,Bottom,4.6,,crystal-mountain-wa/
6,Operating,Gold Hills,Triple,Thiokol,1984-,1800,588,1878,,,86,13,Bottom,Bottom,,Relocated from Bullion Basin,crystal-mountain-wa/
7,Operating,Green Valley,High Speed Quad,Doppelmayr,2000-,2400,916,2859,500,1000,46,12,Top,,2.9,,crystal-mountain-wa/
8,Operating,Mount Rainier Gondola,Gondola 8,Doppelmayr CTEC,2010-,900,2457,6835,500,800,36,15,Bottom,Top,8.5,12 cabins added in 2019,crystal-mountain-wa/
9,Operating,Northway,Double,Doppelmayr CTEC,2007-,1200,1843,5422,400,550,189,19,Top,Bottom,9.9,,crystal-mountain-wa/
10,Operating,Quicksilver,Quad,Garaventa CTEC,2014-,,717,,,,,,Top,Bottom,,"Relocated from Deer Valley, UT",crystal-mountain-wa/
11,Operating,Rainier Express,High Speed Quad,Poma,1988-,2800,1584,4108,700,1000,87,18,Bottom,,4.1,,crystal-mountain-wa/
12,Removed,Campbell Basin,Double,SLI,1970-1997,1200,1010,3708,,500,,,Bottom,Top,15,"Shortened in 1988 when the bottom station was relocated to the midstation. Old vertical: 1777 feet, Old length: 7475",crystal-mountain-wa/
13,Removed,Iceberg Ridge,Double,Riblet,1962-1988,,,3500,,,,,Bottom,Top,,,crystal-mountain-wa/
14,Removed,Rendezvous,Triple,CTEC,1984-1997,1800,1157,5610,,500,,,Bottom,Bottom,11.2,,crystal-mountain-wa/
15,Removed,Green Valley,Double,Riblet,1963-2000,1200,1000,2990,,,,,Top,Bottom,,,crystal-mountain-wa/
16,Removed,Bullion Basin,Triple,Thiokol,1974-1984,1800,847,2476,,500,,,Bottom,Bottom,5,,crystal-mountain-wa/
17,Removed,Gold Hills,T-Bar,Murray-Latta,1963-1983,,558,,,,,,,,,,crystal-mountain-wa/
18,Removed,Midway Shuttle,Quad,Poma,1988-1998,2200,850,2955,450,450,,,Top,Bottom,6.6,,crystal-mountain-wa/
19,Removed,Miner's Basin,Double,Riblet,1962-2011,1200,1013,3600,,,162,23,Bottom,Top,,,crystal-mountain-wa/
20,Removed,Quicksilver,Double,Riblet,1965-2014,1000,976,5048,,500,159,25,Top,Bottom,10.1,Shortened in 1998 when midstation was removed,crystal-mountain-wa/
21,Removed,High Campbell,Double,Hall,1976-2014,980,912,2497,,,86,13,Bottom,Bottom,,"Relocated from Yodelin, WA with new Riblet drive terminal. Destroyed by avalanche in March 2014",crystal-mountain-wa/
2,Removed,Chair 2,Double,Riblet,1984-2000,1200,126,1066,,300,,3,Bottom,Bottom,3.6,,cuchara-co/
3,Standing,Chair 3,Double,Riblet,1982-2000,1100,1346,4940,,500,,23,Bottom,Bottom,9.9,,cuchara-co/
4,Standing,Chair 4,Double,Riblet,1981-2000,1200,266,1427,,400,,9,Bottom,Bottom,3.6,,cuchara-co/
5,Standing,Chair 5,Triple,Riblet,1984-2000,1800,972,3219,,450,,16,Bottom,Bottom,7.2,,cuchara-co/
2,Operating,Eagle Express,High Speed Quad,Doppelmayr,2001-,2400,894,2779,323,1000,50,10,Bottom,Top,2.8,,cypress-mountain-bc/
3,Operating,Easy Rider,Quad,Doppelmayr,2001-,1501,177,989,44,374,28,4,Top,Bottom,2.6,,cypress-mountain-bc/
4,Operating,Lions Express,High Speed Quad,Doppelmayr CTEC,2007-,2400,1152,3540,600,1000,76,14,Bottom,Top,3.5,,cypress-mountain-bc/
5,Operating,Midway,Double,Mueller,1990-,,,,,,82,7,Bottom,Bottom,,"Relocated from Whistler, BC",cypress-mountain-bc/
6,Operating,Raven Ridge,Quad,Poma,2007-,,,,,,124,15,Bottom,Bottom,,Relocated from Sunrise,cypress-mountain-bc/
7,Operating,Sky,Quad,Doppelmayr,2022-,1800,600,1886,221,450,42,7,Bottom,Bottom,4.2,Loading conveyor,cypress-mountain-bc/
8,Removed,Black,Double,Murray-Latta,1975-,,,,,,,,,,,,cypress-mountain-bc/
9,Removed,Sky,Double,Mueller,1987-2022,,,,,,,8,Bottom,Bottom,,"Relocated from Apex, BC",cypress-mountain-bc/
10,Removed,Strachan,Double,Murray-Latta,1975-,,,,,,,,,,,,cypress-mountain-bc/
11,Removed,Sunrise,Quad,Poma,1997-2007,2000,1196,3356,400,400,,,Bottom,Bottom,8.4,,cypress-mountain-bc/
12,Removed,Hollyburn,Single,Riblet,1949-1964,,540,1700,,,,,,,,,cypress-mountain-bc/
2,Operating,Big Daddy,Quad,BM Lifts,1988-,1000,565,2750,100,420,44,6,Bottom,Bottom,6.5,,dagmar-on/
3,Operating,Favourite,Quad,Leitner-Poma,2004-,2400,151,874,75,390,45,4,Bottom,Bottom,2.2,,dagmar-on/
4,Operating,Little Momma,Triple,Skyway,1978-,2100,165,1100,,450,23,4,Bottom,Bottom,2.4,,dagmar-on/
5,Operating,Rendezvous,Triple,BM Lifts,1988-,2400,163,1028,50,430,45,7,Bottom,Bottom,2.4,,dagmar-on/
6,Removed,Favourite,Triple,BM Lifts,1982-2004,2100,168,900,,400,,,,,2.3,,dagmar-on/
7,Removed,,T-Bar,Skyway,1976-,1200,165,880,,400,,,,,2.2,,dagmar-on/
8,Removed,,T-Bar,Skyway,1976-,1200,69,450,,350,,,,,1.3,,dagmar-on/
9,Removed,,T-Bar,Skyway,1972-,1200,180,950,,400,,,,,2.4,,dagmar-on/
2,Operating,Holt's Ledge,Double,Hall,1976-,,,,,,,17,Bottom,Bottom,,Doppelmayr CTEC drive terminal.,dartmouth-skiway-nh/
3,Operating,Winslow,Quad,Garaventa CTEC,1993-,1800,893,3690,250,450,,14,Bottom,Bottom,8.2,,dartmouth-skiway-nh/
4,Removed,J-Bar,J-Bar,Poma,1988-,,,,,,,3,Bottom,Top,,,dartmouth-skiway-nh/
5,Removed,Winslow,Double,Carlevaro-Savio,1967-1993,1000,876,3750,,490,,,,,7.7,,dartmouth-skiway-nh/
6,Removed,Holt's Ledge,Platter,Poma,1956-1976,,,,,,,,,,,,dartmouth-skiway-nh/
2,Standing,Double,Double,Riblet,-2017,,,,,,,12,Top,Top,,Relocated,deer-mountain-sd/
3,Standing,Triple,Triple,Riblet,1977-2017,1200,287,1250,,450,,20,Bottom,Bottom,2.8,,deer-mountain-sd/
4,Removed,,Platter,Heron-Poma,1973-,900,175,1300,,479,,,,,2.7,,deer-mountain-sd/
5,Removed,,Platter,Heron-Poma,1970-,900,413,1970,,447,,,,,4.4,,deer-mountain-sd/
2,Operating,Burns Express,High Speed Quad,Doppelmayr,2022-,1800,190,1020,210,690,29,4,Bottom,,1.5,,deer-valley-ut/
3,Operating,Carpenter Express,High Speed Quad,Garaventa CTEC,1996-,3000,1185,4835,600,1070,109,24,Top,Bottom,4.5,,deer-valley-ut/
4,Operating,Crown Point,Triple,Yan,1990-,1800,550,1394,150,500,56,9,Top,Bottom,2.8,,deer-valley-ut/
5,Operating,Empire Express,High Speed Quad,Garaventa CTEC,1998-,2800,1210,4825,600,1000,101,19,Top,Bottom,4.8,,deer-valley-ut/
6,Operating,Homestake Express,High Speed Quad,Doppelmayr,2018-,2400,264,1710,146,1000,39,8,Top,Bottom,1.7,,deer-valley-ut/
7,Operating,Jordanelle Express Gondola,Gondola 6,Garaventa CTEC,1998-,1900,1322,5170,500,1000,40,18,Top,Bottom,5.2,Deer Valley only loads 4 people per cabin,deer-valley-ut/
8,Operating,Judge,Triple,Doppelmayr CTEC,2004-,1800,195,697,75,400,35,5,Top,Top,1.7,,deer-valley-ut/
9,Operating,Lady Morgan Express,High Speed Quad,Doppelmayr CTEC,2007-,2400,1118,4499,500,1000,60,11,Top,Bottom,4.5,,deer-valley-ut/
10,Operating,Mayflower,Triple,Yan,1984-,1800,1371,3493,,500,141,16,Top,Bottom,7,,deer-valley-ut/
11,Operating,Mountaineer Express,High Speed Quad,Doppelmayr,2012-,2400,869,2965,366,984,65,14,Top,Bottom,3,,deer-valley-ut/
12,Operating,Northside Express,High Speed Quad,Garaventa CTEC,1993-,2400,910,3735,400,1000,78,11,Top,Bottom,3.7,,deer-valley-ut/
13,Operating,Platter,Platter,Garaventa,,,,,,,10,3,Bottom,Bottom,,,deer-valley-ut/
14,Operating,Quincy Express,High Speed Quad,Garaventa CTEC,2001-,2800,1011,4144,600,1000,90,22,Top,Bottom,4.1,,deer-valley-ut/
15,Operating,Red Cloud,Triple,Yan,1990-,1800,766,2568,200,500,103,13,Top,Bottom,5.1,,deer-valley-ut/
16,Operating,Ruby Express,High Speed Quad,Doppelmayr CTEC,2002-,2800,723,2386,400,1000,54,11,Top,Bottom,2.4,,deer-valley-ut/
17,Operating,Silver Lake Express,High Speed Quad,Garaventa CTEC,1999-,2800,1398,6610,800,1000,133,27,Top,Bottom,6.6,,deer-valley-ut/
18,Operating,Silver Strike Express,High Speed Quad,Doppelmayr CTEC,2004-,2400,984,5114,600,1000,107,17,Top,Bottom,5.1,Has a 2.5 degree turn between towers 5-7,deer-valley-ut/
19,Operating,Snowflake,Double,Garaventa CTEC,1993-,1000,190,1070,40,300,55,7,Top,Top,3.6,,deer-valley-ut/
20,Operating,Sterling Express,High Speed Quad,Doppelmayr CTEC,2006-,2400,1169,4686,500,1000,98,16,Top,Bottom,4.7,Shortened then lengthened in 2022.,deer-valley-ut/
21,Operating,Sultan Express,High Speed Quad,Doppelmayr CTEC,2005-,2400,1752,4995,700,1000,102,18,Top,Bottom,5,,deer-valley-ut/
22,Operating,Viking,Triple,Yan,1990-,1800,135,1500,100,500,30,4,Bottom,Bottom,3,,deer-valley-ut/
23,Operating,Wasatch Express,High Speed Quad,Garaventa CTEC,1996-,2400,1398,4201,600,1000,89,14,Top,Bottom,4.2,,deer-valley-ut/
24,Removed,Burns,Double,Yan,1981-2022,1320,157,922,,330,,5,Top,Bottom,2.8,,deer-valley-ut/
25,Removed,Carpenter,High Speed Quad,Yan,1990-1996,2640,1174,4875,600,1000,,,Top,Bottom,4.9,,deer-valley-ut/
26,Removed,Carpenter,Triple,Yan,1981-1990,2000,1177,4880,,500,,,Top,Bottom,9.8,,deer-valley-ut/
27,Removed,Clipper,Triple,Yan,1984-2000,1800,1386,6566,,500,,,Top,Bottom,13.1,,deer-valley-ut/
28,Removed,Deer Crest,Quad,Garaventa CTEC,1997-2012,2400,897,2860,300,450,,15,Top,Bottom,6.4,,deer-valley-ut/
29,Removed,Homestake,Triple,Yan,1981-1999,2000,261,1720,,500,,,Top,Bottom,3.4,,deer-valley-ut/
30,Removed,Homestake,Quad,Garaventa CTEC,1999-2018,2800,279,1720,150,375,,12,Top,Bottom,4.6,,deer-valley-ut/
31,Removed,Little Chief,Triple,Yan,2000-2009,2000,170,800,,500,,6,Top,Bottom,4,Relocated from Homestake,deer-valley-ut/
32,Removed,Quincy,Triple,Yan,1997-2001,,1000,,,,,,Top,Bottom,,Relocated from Wasatch,deer-valley-ut/
33,Removed,Ruby,Quad,Garaventa CTEC,1998-2002,2400,735,2600,300,425,,,Top,Bottom,6.1,,deer-valley-ut/
34,Removed,Sterling,Triple,Yan,1982-2006,1900,1189,4618,,525,,,Top,Bottom,8.8,,deer-valley-ut/
35,Removed,Sultan,Triple,Yan,1981-2005,1800,1416,3510,,500,,,Top,Bottom,7,,deer-valley-ut/
36,Removed,Wasatch,Triple,Yan,1981-1996,1800,1359,4075,,500,,,Top,Bottom,8.2,,deer-valley-ut/
2,Operating,Q,Triple,SkyTrans,2014-,,,,,,,5,Bottom,Bottom,,,detroit-mountain-mn/
3,Operating,Z,Triple,SkyTrans,2014-,,,,,,,6,Bottom,Bottom,,,detroit-mountain-mn/
4,Removed,,Double,Riblet,1972-,1000,187,1365,30,400,,,,,3.4,,detroit-mountain-mn/
2,Operating,0,Quad,Doppelmayr,2021-,2400,335,1684,150,400,84,8,Bottom,Bottom,4.2,,devils-head-wi/
3,Operating,0,Quad,Riblet,1990-,1800,144,1480,75,380,56,9,Bottom,Bottom,3.9,,devils-head-wi/
4,Operating,1 Quicksilver Express,Quad,Doppelmayr,2012-,1793,136,833,150,450,104,13,Bottom,Top,1.9,,devils-head-wi/
5,Operating,3 Glacial Express,Quad,Doppelmayr CTEC,2010-,2400,497,2644,200,400,99,15,Bottom,Top,6.6,,devils-head-wi/
6,Operating,4,Quad,Doppelmayr,2015-,1820,497,2598,137,400,100,10,Bottom,Bottom,5.8,,devils-head-wi/
7,Operating,4 1/4,Quad,Riblet,1988-,1800,308,1336,75,380,,11,Bottom,Bottom,3.5,,devils-head-wi/
8,Removed,0,Triple,Hall,1975-2021,1315,335,1651,,375,54,8,Bottom,Bottom,4.4,,devils-head-wi/
9,Removed,0,Double,Hall,1971-2021,950,480,2710,,465,54,8,Bottom,Bottom,5.8,,devils-head-wi/
10,Removed,1,Double,Hall,1972-2012,950,450,2500,75,465,,,,,6.6,,devils-head-wi/
11,Removed,2,Double,Hall,1972-2012,950,296,1500,50,465,,,,,5.4,,devils-head-wi/
12,Removed,3,Double,Hall,1971-2010,950,480,2710,,465,,,,,5.8,,devils-head-wi/
13,Removed,3 1/4,Quad,Hall,1978-2015,1641,306,1322,,400,,,,,5.8,,devils-head-wi/
14,Removed,3 1/2,Double,Hall,1971-2015,950,480,2710,,465,,,,,3.3,,devils-head-wi/
15,Removed,4,Double,Hall,1971-2015,950,480,2710,,465,,,,,,,devils-head-wi/
2,Operating,Crystal Express,High Speed Quad,Doppelmayr CTEC,2003-,2400,1477,4923,600,1000,,19,Top,Bottom,4.9,,diamond-peak-nv/
3,Operating,Lakeview,Quad,Doppelmayr,1995-,2400,672,2205,250,500,,10,Top,Bottom,4.4,,diamond-peak-nv/
4,Operating,Lodgepole,Quad,Doppelmayr,1996-,1800,292,2022,200,425,,9,Top,Bottom,4.8,,diamond-peak-nv/
5,Operating,Red Fox,Double,Yan,1979-,1200,441,1645,,450,,9,Top,Bottom,3.7,Originally called Wiggle,diamond-peak-nv/
6,Operating,Ridge,Double,SLI,1969-,1065,286,1550,,475,,8,Bottom,Top,3.3,Originally called Upper Yellow,diamond-peak-nv/
7,Operating,Schoolhouse,Double,Yan,1978-,1200,50,805,,450,,5,Bottom,Bottom,1.8,Originally called B Chair,diamond-peak-nv/
8,Removed,Crystal,Quad,Doppelmayr,1987-2003,2400,1468,4773,500,500,,,Top,Bottom,9.5,,diamond-peak-nv/
9,Removed,Lower Blue,Double,Hall,1966-1996,800,224,1575,,340,,,,,4.6,,diamond-peak-nv/
10,Removed,Lower Yellow,Double,Hall,1966-1995,1000,673,2320,,465,,,,,5,,diamond-peak-nv/
11,Removed,Red,Double,Hall,1966-,900,318,1323,,465,,,,,2.8,,diamond-peak-nv/
12,Removed,Upper Blue,Double,SLI,1969-1987,800,375,1930,,380,,,,,5.1,,diamond-peak-nv/
13,Removed,,T-Bar,SLI,1966-,800,75,1150,,400,,,,,2.9,,diamond-peak-nv/
2,Operating,T̩l̩si̬ge,Triple,Poma,,,,,,,,5,Bottom,Bottom,,Relocated,do-mi-ski-qc/
2,Operating,1 Triple Nugget,Triple,Yan,2022-,1400,400,2251,100,400,88,10,Bottom,Bottom,5.6,"Relocated from Mt. Rose, NV",dodge-ridge-ca/
3,Operating,Chair 3,Triple,Yan,1981-,1900,794,3580,,500,148,16,Bottom,Bottom,7.2,,dodge-ridge-ca/
4,Operating,Chair 4,Double,Riblet,1964-,1200,630,2442,,,107,12,Bottom,Top,,,dodge-ridge-ca/
5,Operating,Chair 5,Double,Riblet,1971-,650,795,3586,,450,143,18,Bottom,Top,8,,dodge-ridge-ca/
6,Operating,Chair 6,Double,Riblet,2020-,,224,1468,60,350,84,11,Top,Bottom,4.2,,dodge-ridge-ca/
7,Operating,Chair 7,Triple,CTEC,1985-,1800,1168,4755,,500,,19,Bottom,Bottom,9.5,,dodge-ridge-ca/
8,Operating,Chair 8,Quad,Garaventa CTEC,1998-,2400,1101,4540,400,475,,19,Top,Bottom,9.6,,dodge-ridge-ca/
9,Operating,T643,T-Bar,Doppelmayr,2011-,600,78,1137,25,650,,4,Bottom,Bottom,1.7,,dodge-ridge-ca/
10,Removed,Chair 1,Double,Heron,-1981,,,3600,,,,,,,,,dodge-ridge-ca/
11,Removed,Chair 1,Double,Riblet,1970-2022,1200,210,1560,,350,,9,Bottom,Top,4.5,,dodge-ridge-ca/
12,Removed,Chair 2,Double,Riblet,1964-2022,1200,360,2046,,,,12,Bottom,Top,,,dodge-ridge-ca/
13,Removed,Chair 6,Double,Riblet,1968-2020,1200,298,1586,,450,,11,Top,Bottom,3.5,,dodge-ridge-ca/
2,Operating,Chair 1,Triple,Poma,1985-,1800,709,2198,230,500,88,9,Bottom,Bottom,4.4,Midstation,donner-ski-ranch-ca/
3,Operating,Chair 2,Double,Riblet,1975-,,413,1656,150,450,54,11,Top,Bottom,3.7,"Relocated from Vail, CO",donner-ski-ranch-ca/
4,Operating,Chair 3,Double,Riblet,1976-,,511,3000,200,500,116,13,Top,Bottom,6,Extended downhill 1986,donner-ski-ranch-ca/
5,Operating,Chair 4,Double,Riblet,1984-,,257,1045,80,370,36,8,Top,Bottom,2.8,"Relocated from Mt. Shasta, CA",donner-ski-ranch-ca/
6,Operating,Chair 5,Double,Riblet,1986-,,300,2996,170,450,64,10,Top,Bottom,6.7,"Relocated from Squaw Valley, CA",donner-ski-ranch-ca/
7,Operating,Chair 6,Double,Riblet,,,157,970,100,450,48,7,Top,Bottom,2.2,"Relocated from Boreal, CA",donner-ski-ranch-ca/
8,Removed,,Double,Tiegel,1968-,500,260,1100,,400,,,,,2.8,,donner-ski-ranch-ca/
9,Removed,T-Bar,T-Bar,Constam,1946-1959,600,650,1700,,,,,,,,,donner-ski-ranch-ca/
10,Removed,Chair 1,Double,United Tramway,1955-1985,750,850,2100,,,,,,,,,donner-ski-ranch-ca/
2,Operating,,Double,CTEC,1998-,,,,,,,,,,,Relocated,double-h-ranch-ny/
2,Operating,Double,Double,Hall,,,,,,,48,10,Bottom,Bottom,,,dry-hill-ny/
3,Operating,T-Bar,T-Bar,Hall,,,,,,,43,7,Bottom,Top,,,dry-hill-ny/
2,Operating,Sky Ride,Triple,Hopkins,,,,,,,32,6,,,,,dutch-wonderland-pa/
2,Operating,Canyonside,Double,Yan,,,,,,,,7,Bottom,Bottom,,Relocated,eagle-point-ut/
3,Operating,Lookout,Quad,Garaventa CTEC,1997-,1700,957,3314,250,500,,13,Bottom,Bottom,6.6,,eagle-point-ut/
4,Operating,Monarch,Triple,Poma,1985-,1800,441,2292,,450,,8,Bottom,Bottom,5.1,,eagle-point-ut/
5,Operating,Skyline,Double,Poma,1985-,1200,432,2821,100,500,114,10,Top,Top,5.6,,eagle-point-ut/
6,Operating,Tushar Peaks,Platter,Poma,2013-,,,,,,,4,Bottom,Top,,Relocated from Little Eagle,eagle-point-ut/
7,Removed,Holly,Double,Heron-Poma,1972-2013,1020,868,2330,100,500,,,,,4.7,,eagle-point-ut/
8,Removed,Little Eagle,Platter,Poma,1985-2013,500,170,1387,,495,,,,,2.8,,eagle-point-ut/
9,Removed,Ridge,Platter,Poma,1987-1997,500,187,1365,,495,,,,,2.8,,eagle-point-ut/
10,Removed,Village,T-Bar,Hall,1973-,675,329,1297,,450,,,,,2.9,,eagle-point-ut/
2,Operating,Soaring Heights 1,Double,Borvig,1978-,1200,495,2495,,450,,12,Top,Bottom,5.5,,eagle-rock-pa/
3,Operating,Soaring Heights 2,Double,Borvig,1988-,1200,498,2495,100,453,,12,Top,Bottom,5.5,,eagle-rock-pa/
4,Removed,Wings,Double,Heron-Poma,1962-2017,,,,,,,7,Top,Bottom,,,eagle-rock-pa/
2,Operating,Black Bear,Double,Riblet,2009-,,,,,,115,27,Bottom,Bottom,,"Relocated from Northstar-at-Tahoe, CA",eaglecrest-ak/
3,Operating,Hooter,Double,Riblet,1978-,1200,632,3160,,450,,16,Bottom,Bottom,7,,eaglecrest-ak/
4,Operating,Porcupine,Double,Hall,2010-,,,,,,39,6,Bottom,Bottom,,"Relocated from Snowmass, CO",eaglecrest-ak/
5,Operating,Ptarmigan,Double,Riblet,1975-,800,1403,4880,,500,125,18,Bottom,Bottom,9.8,,eaglecrest-ak/
6,Removed,Platter,Platter,Doppelmayr,1975-2010,800,110,875,,470,,,,,,,eaglecrest-ak/
2,Operating,Double,Double,,,,,,,,,5,Top,Bottom,,,earl-bales-park-on/
3,Operating,Quad,Quad,Leitner-Poma,2012-,2400,135,804,75,453,,4,Bottom,Bottom,1.8,,earl-bales-park-on/
2,Operating,Macomber,Double,Doppelmayr,2000-,,,,,,,9,Top,Top,,"Relocated from Wachusett, MA",easton-ma/
3,Removed,,T-Bar,Doppelmayr,-2000,,,,,,,,,,,Midstation,easton-ma/
2,Operating,Hot Laps Special,Triple,Yan,2005-,1550,600,,,,,13,Top,Bottom,,"Relocated from Heavenly, CA",echo-mountain-co/
3,Removed,T-Bar,T-Bar,Roebling,1961-2004,,,,,,,,,,,,echo-mountain-co/
2,Operating,Poma,Platter,Poma,,,,,,,,6,Bottom,Top,,,echo-valley-wa/
2,Operating,T-Bar,T-Bar,Mueller,,,,,,,,3,Bottom,Bottom,,,edmonton-ski-club-ab/
2,Operating,Alpenglow,High Speed Six,Doppelmayr,2017-,3600,1001,4098,600,1000,87,17,Top,Bottom,4.1,,eldora-co/
3,Operating,Caribou,Double,Yan,1980-,1200,250,1240,,350,,,Bottom,Bottom,3.5,,eldora-co/
4,Operating,Corona,Quad,Garaventa CTEC,1998-,1900,1370,4039,,475,,,Top,Bottom,8.5,,eldora-co/
5,Operating,EZ,Triple,Riblet,2000-,1800,250,1437,75,450,,,Bottom,Bottom,3.2,,eldora-co/
6,Operating,Indian Peaks,Quad,Garaventa CTEC,1997-,1800,1111,4070,300,450,139,18,Top,Bottom,9,,eldora-co/
7,Operating,Little Hawk,Double,Miner-Denver,1968-,1000,112,788,,350,,,Top,Bottom,2.3,Yan chairs,eldora-co/
8,Operating,Race,Platter,Heron,,,,,,,,,Bottom,Top,,,eldora-co/
9,Operating,Sundance,Double,Yan,1975-,1200,346,1647,,425,,,Bottom,Bottom,3.9,,eldora-co/
10,Removed,Corona,Double,Miner-Denver,1970-1998,1200,1361,4143,400,500,,,,,10.4,,eldora-co/
11,Removed,Tenderfoot,T-Bar,Constam,1965-,1000,235,1380,,450,,,,,3.1,,eldora-co/
