Status,Lift Name,Type,Capacity,Vertical Rise,Length,Line Speed,Drive,Ride Time,Resort,State,Ikon,Epic,Price,Season,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Lift capacity,Nightskiing,Summer skiing
Operating,Chile Express,High Speed Quad,1800,2067,10992,1200,Top,9.2,angel fire,nm,0,0,62,December - March,40,28,7,75,4,7200,Yes,No
Operating,Dreamcatcher,Double,1200,150,833,300,Top,2.8,angel fire,nm,0,0,62,December - March,40,28,7,75,4,7200,Yes,No
Operating,Lift 2,Double,700,385,1900,450,Bottom,4.2,angel fire,nm,0,0,62,December - March,40,28,7,75,4,7200,Yes,No
Operating,Lift 3,Double,570,447,2204,450,Top,4.9,angel fire,nm,0,0,62,December - March,40,28,7,75,4,7200,Yes,No
Operating,Southwest Flyer,High Speed Quad,2400,1140,5020,1000,Top,5,angel fire,nm,0,0,62,December - March,40,28,7,75,4,7200,Yes,No
Operating,Bighorn,Double,1200,960,3816,,Bottom,,antelope butte,wy,0,0,,,,,,,,,,
Operating,Deer Park,Double,900,152,,,Bottom,,antelope butte,wy,0,0,,,,,,,,,,
Operating,Rock Garden,Triple,1800,800,3201,450,Bottom,7.1,anthony lakes,or,0,0,,,,,,,,,,
Operating,Beavers,Quad,1800,1501,4123,450,Top,9.2,arapahoe basin,co,1,0,83,October - June,40,25,40,105,4,7200,No,No
Operating,Black Mountain Express,High Speed Quad,2000,717,2875,1000,Top,2.9,arapahoe basin,co,1,0,83,October - June,40,25,40,105,4,7200,No,No
Operating,Lenawee Express,High Speed Six,2400,1018,4002,1000,Bottom,4,arapahoe basin,co,1,0,83,October - June,40,25,40,105,4,7200,No,No
Operating,Molly Hogan,Quad,800,57,398,350,Top,1.1,arapahoe basin,co,1,0,83,October - June,40,25,40,105,4,7200,No,No
Operating,Pallavicini,Double,1200,1325,3512,500,Bottom,7,arapahoe basin,co,1,0,83,October - June,40,25,40,105,4,7200,No,No
Operating,Zuma,Quad,1900,1113,4117,450,Top,9.2,arapahoe basin,co,1,0,83,October - June,40,25,40,105,4,7200,No,No
